Website,Projects,,Member,project_id,date,time
https://diamondnails160.com/,95678SE1 PROX3 Diamond Nails,,Tony,3006,4/1,11:13
https://sweetynailsspa.com/,77084SE1 PROX3 CITY NAILS,,Lucas,3028,4/1,11:46
https://kstnailloungetampa.com,33625SE1 PROX3 KST NAIL LOUNGE,,Davis,2963,4/1,11:50
https://avenirnaillounge.com/,75065SEM PROX4 Avenir Nail Lounge,,Alex,647,4/3,12:08
https://dlnailsnspa.com,52807SE1 PROX3 DL NAILS AND SPA,,Allen,3029,4/1,11:59
https://rejuvenatenailspaohio.com/,43235SE1 PROX3 REJUVENATE NAIL SPA,,Davis,3338,4/2,11:13
https://tranquilnailspa.com/,94403SE1 PROX3 TRANQUIL NAIL SPA,,Tony,2960,4/2,11:42
https://mibellanaillounge.macmar.us/,77449SE1 PROX3 MIBELLA NAIL LOUNGE & SALON SUITE INC,,Lucas,3013,4/2,11:44
https://vivanailsandspachino.com/,91710SEM PROX4 VIVA NAILS & SPA,,Allen,641,4/2,15:36
https://thenailplaceofcharleston.com/,29401SEM PROX4 The Nail Place Of Charleston,,Tony,632,4/3,11:33
https://blushnailbarca.com/,92844SE1 PROX3 BLUSH NAIL BAR,,Lucas,2990,4/3,11:34
https://gtnailsandspa.com,92610SE1 PROX3 GT Nails & Spa,,Davis,631,4/3,11:43
https://glamournailsspasd.com/,57106SE1 PROX3 Glamour Nails & Spa,,Alex,2959,4/1,13:34
https://amournailsbarweirton.com,26062SE1 PROX3 Weirton Nails & Spa,,Allen,2997,4/3,12:13
https://uminailsspa.com/,32836SE1 PROX3 U MI NAILS SPA,,Tony,3002,4/6,11:26
https://lumeranailspa.com/,91311SE1 PROX3 LUMERA NAIL SPA,,Lucas,3009,4/6,11:53
https://americannailbarmansfield.com/,76063SE1 PROX3 American Nail Bar,,Davis,3003,4/6,11:56
https://leonaildesign.com/,02169SE1 PROX3 LEO NAIL DESIGN,,Alex,3008,4/6,11:58
https://kimnailsjohnson.com,37601SE1 PROX3 KIM NAILS,,Allen,3011,4/6,16:53
https://julienailbar.com,58201SE1 PROX3 JULIE'S NAIL BAR,,Tony,635,4/7,11:20
https://joliesnailarcadia.macmar.us/,91006SE1 PROX3 JOLIE'S NAIL,,Lucas,3055,4/7,11:25
https://lamodenailsspaglenview.com,60025SE1 PROX3 La Mode Nails Spa,,Davis,2975,4/7,11:29
https://allurenailspa.macmar.us/,77346SE1 PROX3 Allure Nails & Spa,,,3041,,
https://lavishnaillux.com/,60543S00 Lavish Nails Spa,,Allen,3014,4/7,10:44
https://123nailsalon.macmar.us/,60605SEM PROX4 123 NAIL SALON,,Tony,3035,4/8,10:33
https://envynail.macmar.us/,63801SE1 PROX3 ENVY NAIL,,Leo,2964,4/8,11:04
https://grandblancnailsandspa.com/,48439SEM PROX4 GRAND BLANC NAILS & SPA,,Lucas,2977,4/8,11:27
https://allennailspa.macmar.us,75002S00 Allen Nail Spa,,Davis,3044,4/8,12:04
https://bloomfieldnailsmi.macmar.us/,48084SEM PROX4 Bloomfield Nails and Spa of Troy,,Alex,3067,4/8,13:51
https://bnailssanmarcostx.com/,78666SE1 PROX3 B Nails,,Allen,2993,4/8,16:32
https://voguenailsanddayspaok.com,74037SE1 PROX3 Vogue Nails and Day Spa,,Tony,3019,4/9,11:19
https://hairsalonbymojan.macmar.us/,78240SCM PROX4 Hair Salon by Mojan,,Alex,2967,4/9,11:54
https://happynailsbar.macmar.us/,32092SE1 PROX3 HAPPY NAILS BAR,,Lucas,3089,4/9,11:56
https://deluxenailsbartomsriver.com,08755SE1 PROX3 Deluxe Nails Bar,,Allen,3020,4/9,11:57
https://urbannailsandover.com,67002SE1 PROX3 URBAN NAILS ANDOVER,,Davis,3023,4/9,12:03
https://discoverynailsandspa.macmar.us/,77584SE1 PROX3 DISCOVERY NAILS & SPA,,Allen,2992,4/10,11:46
https://vivinailslaurel.com/,20708SEM PROX4 Vivi Nails,,Lucas,3053,4/10,11:51
https://nobelnailsbarcinco.com/,77494SE1 PROX3 NOBEL NAILS BAR,,Alex,3052,4/10,11:54
https://demo.blissdayspa.info,79906SE1 PROX3 BLISS DAY SPA,,Davis,3051,4/10,12:07
